,content,type
91,"Penelope for her Ulisses sake,
Devizd a Web her wooers to deceave:
In which the worke that she all day did make
The same at night she did again unreave:
Such subtile craft my Damzell doth conceave,
Th importune suit of my desire to shnone:
For all that I in many dayes doo weave,
In one short houre I find by her undonne.
So when I thinke to end that I begonne,
I must begin and never bring to end:
For with one looke she spils that long I sponne,
And with one word my whole years work doth rend.
Such labour like the Spyders web I fynd,
Whose fruitless worke is broken with least wynd.",Love
92,"My Love is like to ice, and I to fire:
How comes it then that this her cold so great
Is not dissolved through my so hot desire,
But harder grows the more I her entreat?
Or how comes it that my exceeding heat
Is not allayed by her heart-frozen cold,
But that I burn much more in boiling sweat,
And feel my flames augmented manifold?
What more miraculous thing may be told,
That fire, which all things melts, should harden ice,
And ice, which is congeald with senseless cold,
Should kindle fire by wonderful device?
Such is the power of love in gentle mind,
That it can alter all the course of kind.",Love
93,"Though beauty be the mark of praise,
   And yours of whom I sing be such
   As not the world can praise too much,
Yet tis your virtue now I raise.

A virtue, like allay, so gone
   Throughout your form, as, though that move
   And draw and conquer all mens love,
This subjects you to love of one.

Wherein you triumph yet; because
   Tis of yourself, and that you use
   The noblest freedom, not to choose
Against or faith or honors laws.

But who should less expect from you,
   In whom alone Love lives again?
   By whom he is restored to men,
And kept, and bred, and brought up true.

His falling temples you have reared,
   The withered garlands taen away;
   His altars kept from the decay
That envy wished, and nature feared;

And on them burn so chaste a flame,
   With so much loyalties expense,
   As Love, t acquit such excellence,
Is gone himself into your name.

And you are he; the deity
   To whom all lovers are designed
   That would their better objects find;
Among which faithful troop am I.

Who, as an offspring at your shrine,
   Have sung this hymn, and here entreat
   One spark of your diviner heat
To light upon a love of mine.

Which, if it kindle not, but scant
   Appear, and that to shortest view,
   Yet give me leave t adore in you
What I in her am grieved to want.",Love
94,"And if I did, what then?
Are you aggrievd therefore?
The sea hath fish for every man,
And what would you have more?

   Thus did my mistress once,
Amaze my mind with doubt;
And poppd a question for the nonce
To beat my brains about.

   Whereto I thus replied:
Each fisherman can wish
That all the seas at every tide
Were his alone to fish.

   And so did I (in vain)
But since it may not be,
Let such fish there as find the gain,
And leave the loss for me.

   And with such luck and loss
I will content myself,
Till tides of turning time may toss
Such fishers on the shelf.

   And when they stick on sands,
That every man may see,
Then will I laugh and clap my hands,
As they do now at me.",Love
95,"All Kings, and all their favourites,
         All glory of honours, beauties, wits,
    The sun itself, which makes times, as they pass,
    Is elder by a year now than it was
    When thou and I first one another saw:
    All other things to their destruction draw,
         Only our love hath no decay;
    This no tomorrow hath, nor yesterday,
    Running it never runs from us away,
But truly keeps his first, last, everlasting day.

         Two graves must hide thine and my corse;
         If one might, death were no divorce.
    Alas, as well as other Princes, we
    (Who Prince enough in one another be)
    Must leave at last in death these eyes and ears,
    Oft fed with true oaths, and with sweet salt tears;
         But souls where nothing dwells but love
    (All other thoughts being inmates) then shall prove
    This, or a love increased there above,
When bodies to their graves, souls from their graves remove.

         And then we shall be throughly blessed;
         But we no more than all the rest.
    Here upon earth were Kings, and none but we
    Can be such Kings, nor of such subjects be;
    Who is so safe as we? where none can do
    Treason to us, except one of us two.
         True and false fears let us refrain,
    Let us love nobly, and live, and add again
    Years and years unto years, till we attain
To write threescore: this is the second of our reign.",Love
96,"As you came from the holy land
Of Walsingham,
Met you not with my true love
By the way as you came?

How shall I know your true love,
That have met many one,
I went to the holy land,
That have come, that have gone?

She is neither white, nor brown,
But as the heavens fair;
There is none hath a form so divine
In the earth, or the air.

Such a one did I meet, good sir,
Such an angelic face,
Who like a queen, like a nymph, did appear
By her gait, by her grace.

She hath left me here all alone,
All alone, as unknown,
Who sometimes did me lead with herself,
And me loved as her own.

Whats the cause that she leaves you alone,
And a new way doth take,
Who loved you once as her own,
And her joy did you make?

I have lovd her all my youth;
But now old, as you see,
Love likes not the falling fruit
From the withered tree.

Know that Love is a careless child,
And forgets promise past;
He is blind, he is deaf when he list,
And in faith never fast.

His desire is a dureless content,
And a trustless joy:
He is won with a world of despair,
And is lost with a toy.

Of womenkind such indeed is the love,
Or the word love abusd,
Under which many childish desires
And conceits are excusd.

But true love is a durable fire,
In the mind ever burning,
Never sick, never old, never dead,
From itself never turning.",Love
97,"Stella is sick, and in that sick-bed lies
Sweetness, that breathes and pants as oft as she;
And grace, sick too, such fine conclusions tries
That sickness brags itself best graced to be.
    Beauty is sick, but sick in so fair guise
That in that paleness beautys white we see;
And joy, which is inseparate from these eyes,
Stella now learns (strange case!) to weep in thee.
   Love moves thy pain, and like a faithful page,
As thy looks stir, runs up and down, to make
All folks prest at thy will thy pain to assuage;
Nature with care sweats for her darlings sake,
   Knowing worlds pass, ere she enough can find
   Of such heaven stuff, to clothe so heavenly mind.",Love
98,"Where be the roses gone, which sweetened so our eyes?
    Where those red cheeks, which oft with fair increase did frame
    The height of honor in the kindly badge of shame?
Who hath the crimson weeds stolen from my morning skies?
How doth the color vade of those vermilion dyes,
    Which Nature's self did make, and self engrained the same!
    I would know by what right this paleness overcame
That hue, whose force my heart still unto thraldom ties?
    Galen's adoptive sons, who by a beaten way
    Their judgements hackney on, the fault on sickness lay;
But feeling proof makes me say they mistake it far:
    It is but love, which makes his paper perfect white
    To write therein more fresh the story of delight,
Whiles beauty's reddest ink Venus for him doth stir.",Love
99,"O absent presence, Stella is not here;
    False flattering hope, that with so fair a face
    Bare me in hand, that in this orphan place
Stella, I say my Stella, should appear.
What sayst thou now? Where is that dainty cheer
    Thou toldst mine eyes should help their famished case?
    But thou art gone, now that self-felt disgrace
Doth make me most to wish thy comfort near.
    But here I do store of fair ladies meet,
    Who may with charm of conversation sweet
Make in my heavy mould new thoughts to grow:
    Sure they prevail as much with me, as he
    That bade his friend, but then new maimed, to be
Merry with him, and not think of his woe.",Love
100,"Stella, since thou so right a princess art
Of all the powers which life bestows on me,
There ere by them aught undertaken be
They first resort unto that sovereign part;
Sweet, for a while give respite to my heart,
Which pants as though it still should leap to thee,
And on my thoughts give thy lieutenancy
To this great cause, which needs both use and art,
And as a queen, who from her presence sends
Whom she employs, dismiss from thee my wit,
Till it have wrought what thy own will attends.
On servants shame oft masters blame doth sit.
Oh let not fools in me thy works reprove,
And scorning say, See what it is to love.",Love
101,"Alas, have I not pain enough, my friend,
Upon whose breast a fiercer gripe doth tire
Than did on him who first stale down the fire,
While Love on me doth all his quiver spend,
But with your rhubarb words you must contend
To grieve me worse, in saying that Desire
Doth plunge my well-formed soul even in the mire
Of sinful thoughts, which do in ruin end?
If that be sin which doth the manners frame,
Well stayed with truth in word and faith of deed,
Ready of wit, and fearing naught but shame;
If that be sin which in fixed hearts doth breed
A loathing of all loose unchastity,
Then love is sin, and let me sinful be.",Love
102,"Not at first sight, nor with a dribbed shot,
   Love gave the wound which while I breathe will bleed:
   But known worth did in mine of time proceed,
Till by degrees it had full conquest got.
I saw, and liked; I liked, but loved not;
   I loved, but straight did not what love decreed:
   At length to loves decrees I, forced, agreed,
Yet with repining at so partial lot.
   Now even that footstep of lost liberty
Is gone, and now like slave-born Muscovite
I call it praise to suffer tyranny;
And now employ the remnant of my wit
   To make myself believe that all is well,
   While with a feeling skill I paint my hell.",Love
103,"Your words my friend (right healthful caustics) blame
My young mind marred, whom Love doth windlass so,
That mine own writings like bad servants show
My wits, quick in vain thoughts, in virtue lame,
That Plato I read for nought, but if he tame
Such coltish gyres, that to my birth I owe
Nobler desires, least else that friendly foe,
Great expectation, wear a train of shame.
For since mad March great promise made of me,
If now the May of my years much decline,
What can be hoped my harvest time will be?
Sure you say well, your wisdoms golden mine
Dig deep with learnings spade, now tell me this,
Hath this world ought so fair as Stella is?",Love
104,"The wisest scholar of the wight most wise
By Phoebus doom, with sugared sentence says
That Virtue, if it once met with our eyes,
Strange flames of love it in our souls would raise;
But, for that man with pain this truth descries,
While he each thing in senses balance weighs,
And so nor will nor can behold those skies
Which inward sun to heroic mind displays,
Virtue of late, with virtuous care to stir
Love of herself, takes Stellas shape, that she
To mortal eyes might sweetly shine in her.
It is most true, for since I her did see,
Virtues great beauty in that face I prove,
And find theffect, for I do burn in love.",Love
105,"With how sad steps, O moon, thou climbst the skies!
How silently, and with how wan a face!
What! may it be that even in heavenly place
That busy archer his sharp arrows tries?
Sure, if that long-with-love-acquainted eyes
Can judge of love, thou feelst a lovers case:
I read it in thy looks; thy languished grace
To me, that feel the like, thy state descries.
Then, even of fellowship, O Moon, tell me,
Is constant love deemed there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be loved, and yet
    Those lovers scorn whom that love doth possess?
    Do they call virtue thereungratefulness?",Love
106,"What, have I thus betrayed my liberty?
Can those black beams such burning marks engrave
In my free side? or am I born a slave,
Whose neck becomes such yoke of tyranny?
Or want I sense to feel my misery?
Or sprite, disdain of such disdain to have?
Who for long faith, though daily help I crave,
May get no alms but scorn of beggary.
Virtue, awake! Beauty but beauty is;
I may, I must, I can, I will, I do
Leave following that which it is gain to miss.
Let her go. Soft, but here she comes. Go to,
Unkind, I love you not! O me, that eye
Doth make my heart give to my tongue the lie!",Love
107,"Souls joy, bend not those morning stars from me,
Where virtue is made strong by beautys might,
Where love is chasteness, pain doth learn delight,
And humbleness grows one with majesty.
Whatever may ensue, O let me be
Co-partner of the riches of that sight;
Let not mine eyes be hell-drivn from that light;
O look, O shine, O let me die and see.
For though I oft my self of them bemoan,
That through my heart their beamy darts be gone,
Whose cureless wounds even now most freshly bleed,
Yet since my death wound is already got,
Dear killer, spare not they sweet cruel shot;
A kind of grace it is to slay with speed.",Love
108,"I on my horse, and Love on me, doth try
Our horsemanships, while by strange work I prove
A horseman to my horse, a horse to Love,
And now mans wrongs in me, poor beast, descry.
The reins wherewith my rider doth me tie
Are humbled thoughts, which bit of reverence move,
Curbed in with fear, but with gilt boss above
Of hope, which makes it seem fair to the eye.
The wand is will; thou, fancy, saddle art,
Girt fast by memory; and while I spur
My horse, he spurs with sharp desire to my heart;
He sits me fast, however I do stir;
And now hath made me to his hand so right
That in the manage myself takes delight.",Love
109,"It is most true, that eyes are formed to serve
The inward light; and that the heavenly part
Ought to be king, from whose rules who do swerve,
Rebels to Nature, strive for their own smart.
    It is most true, what we call Cupids dart,
An image is, which for ourselves we carve;
And, fools, adore in temple of our heart,
Till that good god make Church and churchman starve.
    True, that true beauty virtue is indeed,
Whereof this beauty can be but a shade,
Which elements with mortal mixture breed;
True, that on earth we are but pilgrims made,
    And should in soul up to our country move;
True; and yet true, that I must Stella love.",Love
110,"A strife is grown between Virtue and Love,
While each pretends that Stella must be his:
Her eyes, her lips, her all, saith Love, do this,
Since they do wear his badge, most firmly prove.
But Virtue thus that title doth disprove,
That Stella (O dear name) that Stella is
That virtuous soul, sure heir of heavnly bliss;
Not this fair outside, which our hearts doth move.
And therefore, though her beauty and her grace
Be Loves indeed, in Stellas self he may
By no pretense claim any manner place.
Well, Love, since this demur our suit doth stay,
Let Virtue have that Stella's self; yet thus,
Let Virtue but that body grant to us.",Love
111,"O Grammar rules, O now your virtues show;
    So children still read you with awful eyes,
    As my young Dove may in your precepts wise
Her grant to me, by her own virtue know.
For late with heart most high, with eyes most low,
    I cravd the thing which ever she denies:
    She lightning Love, displaying Venus skies,
Least once should not be heard, twice said, No, No.
    Sing then my Muse, now Io Pan sing,
    Heavns envy not at my high triumphing:
But Grammars force with sweet success confirm,
    For Grammar says (O this dear Stella weigh,)
    For Grammar says (to Grammar who says nay)
That in one speech two Negatives affirm.",Love
112,"Desire, though thou my old companion art,
And oft so clings to my pure Love that I
One from the other scarcely can descry,
While each doth blow the fire of my heart,
Now from thy fellowship I needs must part;
Venus is taught with Dians wings to fly;
I must no more in thy sweet passions lie;
Virtues gold now must head my Cupids dart.
Service and honor, wonder with delight,
Fear to offend, will worthy to appear,
Care shining in mine eyes, faith in my sprite:
These things are let me by my only dear;
But thou, Desire, because thou wouldst have all,
Now banished art. But yet alas how shall?",Love
113,"Stella, think not that I by verse seek fame,
Who seek, who hope, who love, who live but thee;
Thine eyes my pride, thy lips my history;
If thou praise not, all other praise is shame.
Nor so ambitious am I, as to frame
A nest for my young praise in laurel tree:
In truth I sweare, I wish not there should be
Graved in mine epitaph a Poets name:
Nay if I would, could I just title make,
That any laud to me thereof should grow,
Without my plumes from others wings I take.
For nothing from my wit or will doth flow,
Since all my words thy beauty doth endite,
And love doth hold my hand, and makes me write.",Love
114,"O come, soft rest of cares! come, Night!
       Come, naked Virtues only tire,
The reaped harvest of the light
    Bound up in sheaves of sacred fire,
       Love calls to war:
             Sighs his alarms,
       Lips his swords are,
             The fields his arms.

Come, Night, and lay thy velvet hand
    On glorious Days outfacing face;
And all thy crowned flames command
    For torches to our nuptial grace.
       Love calls to war:
             Sighs his alarms,
       Lips his swords are,
             The field his arms.",Love
115,"There is a garden in her face
   Where roses and white lilies blow;
A heavenly paradise is that place,
   Wherein all pleasant fruits do flow:
      There cherries grow which none may buy
      Till Cherry-ripe themselves do cry.

Those cherries fairly do enclose
   Of orient pearl a double row,
Which when her lovely laughter shows,
   They look like rose-buds filled with snow;
      Yet them no peer nor prince can buy
      Till Cherry-ripe themselves do cry.

Her eyes like angels watch them still;
   Her brows like bended bows do stand,
Threat'ning with piercing frowns to kill
   All that attempt with eye or hand
      Those sacred cherries to come nigh,
      Till Cherry-ripe themselves do cry.",Love
116,"The time is come, I must depart
   from thee, ah famous city;
I never yet to rue my smart,
   did find that thou hadst pity.
Wherefore small cause there is, that I
   should grieve from thee to go;
But many women foolishly,
   like me, and other moe,
Do such a fixed fancy set,
   on those which least deserve,
That long it is ere wit we get   
   away from them to swerve.
But time with pity oft will tell   
   to those that will her try,
Whether it best be more to mell,
   or utterly defy.
And now hath time me put in mind
   of thy great cruelness,
That never once a help would find,
   to ease me in distress.
Thou never yet wouldst credit give
   to board me for a year;
Nor with apparel me relieve,
   except thou payed were.
No, no, thou never didst me good,
   nor ever wilt, I know.
Yet am I in no angry mood,
   but will, or ere I go,
In perfect love and charity,
   my testament here write,
And leave to thee such treasury,
   as I in it recite.
Now stand aside and give me leave
      to write my latest will;
And see that none you do deceive
   of that I leave them till.",Love
117,"O happy dames, that may embrace
The fruit of your delight,
Help to bewail the woeful case
And eke the heavy plight
Of me, that wonted to rejoice
The fortune of my pleasant choice;
Good ladies, help to fill my mourning voice.

In ship, freight with remembrance
Of thoughts and pleasures past,
He sails that hath in governance
My life while it will last;
With scalding sighs, for lack of gale,
Furthering his hope, that is his sail,
Toward me, the sweet port of his avail.

Alas! how oft in dreams I see
Those eyes that were my food;
Which sometime so delighted me,
That yet they do me good;
Wherewith I wake with his return,
Whose absent flame did make me burn:
But when I find the lack, Lord, how I mourn!

When other lovers in arms across
Rejoice their chief delight.
Drowned in tears, to mourn my loss
I stand the bitter night
In my window, where I may see
Before the winds how the clouds flee.
Lo! what a mariner love hath made of me!

And in green waves when the salt flood
Doth rise by rage of wind,
A thousand fancies in that mood
Assail my restless mind.
Alas! now drencheth my sweet foe,
That with the spoil of my heart did go,
And left me; but, alas! why did he so?

And when the seas wax calm again
To chase fro me annoy,
My doubtful hope doth cause me pain;
So dread cuts off my joy.
Thus is my wealth mingled with woe,
And of each thought a doubt doth grow;
Now he comes! Will he come? Alas, no, no!
 ",Love
118,"Unto the boundless Ocean of thy beauty
Runs this poor river, charged with streams of zeal:
Returning thee the tribute of my duty,
Which here my love, my youth, my plaints reveal.
Here I unclasp the book of my charged soul,
Where I have cast th'accounts of all my care:
Here have I summed my sighs, here I enroll
How they were spent for thee; look what they are.
Look on the dear expenses of my youth,
And see how just I reckon with thine eyes:
Examine well thy beauty with my truth,
And cross my cares ere greater sum arise.
Read it sweet maid, though it be done but slightly;
Who can show all his love, doth love but lightly.",Love
119,"Go wailing verse, the infants of my love,
Minerva-like, brought forth without a Mother:
Present the image of the cares I prove,
Witness your Fathers grief exceeds all other.
Sigh out a story of her cruel deeds,
With interrupted accents of despair:
A monument that whosoever reads,
May justly praise, and blame my loveless Fair.
Say her disdain hath dried up my blood,
And starved you, in succours still denying:
Press to her eyes, importune me some good;
Waken her sleeping pity with your crying.
Knock at that hard heart, beg till you have moved her;
And tell thunkind, how dearly I have loved her.",Love
120,"But love whilst that thou mayst be loved again,
Now whilst thy May hath filed thy lap with flowers,
Now whilst thy beauty bears without a stain,
Now use the summer smiles, ere winter lowers.
And whilst thou spreadst unto the rising sun
The fairest flower that ever saw the light,
Now joy thy time before thy sweet be done,
And, Delia, think thy morning must have night,
And that thy brightness sets at length to west,
When thou wilt close up that which now thou shewst;
And think the same becomes they fading best
Which then shall most inveil and shadow most.
Men do not weigh the stalk for what it was,
When once they find her flower, her glory, pass.",Love
121,"But love whilst that thou mayst be loved again,
Now whilst thy May hath filled thy lap with flowers,
Now whilst thy beauty bears without a stain,
Now use the summer smiles, ere winter lowers.
And whilst thou spreadst unto the rising sun
The fairest flower that ever saw the light,
Now joy thy time before thy sweet be done,
And, Delia, think thy morning must have night,
And that thy brightness sets at length to west,
When thou wilt close up that which now thou shewst;
And think the same becomes thy fading best
Which then shall most inveil and shadow most.
Men do not weigh the stalk for what it was,
When once they find her flower, her glory, pass.",Love
122,"When men shall find thy flower, thy glory pass,
And thou, with careful brow sitting alone,
Received hast this message from thy glass,
That tells thee truth, and says that all is gone,
Fresh shalt thou see in me the wounds thou madest,
Though spent thy flame, in me the heat remaining,
I that have loved thee thus before thou fadest,
My faith shall wax, when thou art in thy waning.
The world shall find this miracle in me,
That fire can burn when all the matters spent;
Then what my faith hath been thyself shall see,
And that thou wast unkind thou mayst repent.
Thou mayst repent that thou hast scorned my tears,
When Winter snows upon thy golden hairs.",Love
123,"Unhappy pen and ill accepted papers,
That intimate in vain my chaste desires,
My chaste desires, the ever burning tapers,
Enkindled by her eyes celestial fires.
Celestial fires and unrespecting powers,
That deign not view the glory of your might,
In humble lines the work of careful hours,
The sacrifice I offer to her sight.
But since she scorns her own, this rests for me,
Ill moan my self, and hide the wrong I have:
And so content me that her frowns should be
To my infant style the cradle, and the grave.
What though my self no honor get thereby,
Each bird sings therself, and so will I.",Love
124,"A face that should content me wondrous well
Should not be fair but lovely to behold,
With gladsome cheer all grief for to expel;
With sober looks so would I that it should
Speak without words such words as none can tell;
Her tress also should be of crisped gold;
With wit; and thus might chance I might be tied,
And knit again the knot that should not slide.",Love
125,"In summers heat and mid-time of the day
To rest my limbs upon a bed I lay,
One window shut, the other open stood,
Which gave such light as twinkles in a wood,
Like twilight glimpse at setting of the sun
Or night being past, and yet not day begun.
Such light to shamefaced maidens must be shown,
Where they may sport, and seem to be unknown.
Then came Corinna in a long loose gown,
Her white neck hid with tresses hanging down:
Resembling fair Semiramis going to bed
Or Lais of a thousand wooers sped.
I snatched her gown, being thin, the harm was small,
Yet strived she to be covered therewithal.
And striving thus as one that would be cast,
Betrayed herself, and yielded at the last.
Stark naked as she stood before mine eye,
Not one wen in her body could I spy.

What arms and shoulders did I touch and see,
How apt her breasts were to be pressed by me?
How smooth a belly under her waist saw I?
How large a leg, and what a lusty thigh?
To leave the rest, all liked me passing well,
I clinged her naked body, down she fell,
Judge you the rest: being tired she bad me kiss,
Jove send me more such afternoons as this.",Love
126,"So, so breake off this last lamenting kisse,
    Which sucks two soules, and vapours Both away,
Turne thou ghost that way, and let mee turne this,
    And let our selves benight our happiest day,
We askd none leave to love; nor will we owe
    Any, so cheape a death, as saying, Goe;

Goe; and if that word have not quite kild thee,
    Ease mee with death, by bidding mee goe too.
Oh, if it have, let my word worke on mee,
    And a just office on a murderer doe.
Except it be too late, to kill me so,
    Being double dead, going, and bidding, goe.",Love
127,"Farewell, false love, the oracle of lies,
A mortal foe and enemy to rest,
An envious boy, from whom all cares arise,
A bastard vile, a beast with rage possessed,
A way of error, a temple full of treason,
In all effects contrary unto reason.

A poisoned serpent covered all with flowers,
Mother of sighs, and murderer of repose,
A sea of sorrows whence are drawn such showers
As moisture lend to every grief that grows;
A school of guile, a net of deep deceit,
A gilded hook that holds a poisoned bait.

A fortress foiled, which reason did defend,
A siren song, a fever of the mind,
A maze wherein affection finds no end,
A raging cloud that runs before the wind,
A substance like the shadow of the sun,
A goal of grief for which the wisest run.

A quenchless fire, a nurse of trembling fear,
A path that leads to peril and mishap,
A true retreat of sorrow and despair,
An idle boy that sleeps in pleasure's lap,
A deep mistrust of that which certain seems,
A hope of that which reason doubtful deems.

Sith then thy trains my younger years betrayed,
And for my faith ingratitude I find;
And sith repentance hath my wrongs bewrayed,
Whose course was ever contrary to kind:
False love, desire, and beauty frail, adieu!
Dead is the root whence all these fancies grew.",Love
128,"Mark but this flea, and mark in this,   
How little that which thou deniest me is;   
It sucked me first, and now sucks thee,
And in this flea our two bloods mingled be;   
Thou knowst that this cannot be said
A sin, nor shame, nor loss of maidenhead,
    Yet this enjoys before it woo,
    And pampered swells with one blood made of two,
    And this, alas, is more than we would do.

Oh stay, three lives in one flea spare,
Where we almost, nay more than married are.   
This flea is you and I, and this
Our mariage bed, and marriage temple is;   
Though parents grudge, and you, w'are met,   
And cloistered in these living walls of jet.
    Though use make you apt to kill me,
    Let not to that, self-murder added be,
    And sacrilege, three sins in killing three.

Cruel and sudden, hast thou since
Purpled thy nail, in blood of innocence?   
Wherein could this flea guilty be,
Except in that drop which it sucked from thee?   
Yet thou triumphst, and say'st that thou   
Findst not thy self, nor me the weaker now;
    Tis true; then learn how false, fears be:
    Just so much honor, when thou yieldst to me,
    Will waste, as this fleas death took life from thee.",Love
129,"You must not wonder, though you think it strange,
To see me hold my louring head so low,
And that mine eyes take no delight to range
About the gleams which on your face do grow.
The mouse which once hath broken out of trap
Is seldom ticed with the trustless bait,
But lies aloof for fear of more mishap,
And feedeth still in doubt of deep deceit.
The scorched fly, which once hath scaped the flame,
Will hardly come to play again with fire,
Whereby I learn that grievous is the game
Which follows fancy dazzled by desire:
So that I wink or else hold down my head,
Because your blazing eyes my bale have bred.",Love
130,"Fortune hath taken thee away, my love,
My lifes soul and my souls heaven above;
Fortune hath taken thee away, my princess;
My only light and my true fancys mistress.

Fortune hath taken all away from me,
Fortune hath taken all by taking thee.
Dead to all joy, I only live to woe,
So fortune now becomes my mortal foe.

In vain you eyes, you eyes do waste your tears,
In vain you sighs do smoke forth my despairs,
In vain you search the earth and heaven above,
In vain you search, for fortune rules in love.

Thus now I leave my love in fortunes hands,
Thus now I leave my love in fortunes bands,
And only love the sorrows due to me;
Sorrow henceforth it shall my princess be.

I joy in this, that fortune conquers kings;
Fortune that rules on earth and earthly things
Hath taken my love in spite of Cupids might;
So blind a dame did never Cupid right.

With wisdoms eyes had but blind Cupid seen,
Then had my love my love for ever been;
But love farewell; though fortune conquer thee,
No fortune base shall ever alter me.",Love
131,"Only joy, now here you are,
Fit to hear and ease my care;
Let my whispering voice obtain,
Sweet reward for sharpest pain;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Night hath closed all in her cloak,
Twinkling stars love-thoughts provoke:
Danger hence good care doth keep,
Jealousy itself doth sleep;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Better place no wit can find,
Cupids yoke to loose or bind:
These sweet flowers on fine bed too,
Us in their best language woo;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

This small light the moon bestows,
Serves thy beams but to disclose,
So to raise my hap more high;
Fear not else, none can us spy:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

That you heard was but a mouse,
Dumb sleep holdeth all the house;
Yet asleep, methinks they say,
Young folks, take time while you may:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Niggard Time threats, if we miss
This large offer of our bliss,
Long stay ere he grant the same;
Sweet then, while each thing doth frame,
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Your fair mother is abed,
Candles out, and curtains spread:
She thinks you do letters write.
Write, but first let me indite:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Sweet, alas, why strive you thus?
Concord better fitteth us:
Leave to Mars the force of hands,
Your power in your beauty stands;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.

Woe to me, and do you swear
Me to hate, but I forbear,
Cursed by my destines all
That brought me so high to fall:
Soon with my death I will please thee.
No, no, no, no, my dear, let be.",Love
132,"Green groweth the holly,
So doth the ivy.
Though winter blasts blow never so high,
Green groweth the holly.

As the holly groweth green
And never changeth hue,
So I am, ever hath been,
Unto my lady true.

As the holly groweth green
With ivy all alone
When flowers cannot be seen
And greenwood leaves be gone,

Now unto my lady
Promise to her I make,
From all other only
To her I me betake.

Adieu, mine own lady,
Adieu, my special
Who hath my heart truly
Be sure, and ever shall.",Love
133,"It lies not in our power to love or hate,
For will in us is overruled by fate.
When two are stripped, long ere the course begin,
We wish that one should lose, the other win;
And one especially do we affect
Of two gold ingots, like in each respect:
The reason no man knows; let it suffice
What we behold is censured by our eyes.
Where both deliberate, the love is slight:
Who ever loved, that loved not at first sight?",Love
134,"I care not for these ladies,
That must be wooed and prayed:
Give me kind Amaryllis,
The wanton country maid.
Nature art disdaineth,
Her beauty is her own.
Her when we court and kiss,
She cries, Forsooth, let go!
But when we come where comfort is,
She never will say no.

If I love Amaryllis,
She gives me fruit and flowers:
But if we love these ladies,
We must give golden showers.
Give them gold, that sell love,
Give me the nut-brown lass,
Who, when we court and kiss,
She cries, Forsooth, let go!
But when we come where comfort is,
She never will say no.

These ladies must have pillows,
And beds by strangers wrought;
Give me a bower of willows,
Of moss and leaves unbought,
And fresh Amaryllis,
With milk and honey fed;
Who, when we court and kiss,
She cries, Forsooth, let go!
But when we come where comfort is,
She never will say no.",Love
135,"If love now reigned as it hath been
And were rewarded as it hath sin,

Noble men then would sure ensearch
All ways whereby they might it reach,

But envy reigneth with such disdain
And causeth lovers outwardly to refrain,

Which puts them to more and more
Inwardly most grievous and sore.

The fault in whom I cannot set,
But let them tell which love doth get

To lovers I put now sure this case:
Which of their loves doth get them grace?

And unto them which doth it know
Better than do I, I think it so.",Love
136,"Adieu, farewell, earths bliss;
This world uncertain is;
Fond are lifes lustful joys;
Death proves them all but toys;
None from his darts can fly;
I am sick, I must die.
   Lord, have mercy on us!

Rich men, trust not in wealth,
Gold cannot buy you health;
Physic himself must fade.
All things to end are made,
The plague full swift goes by;
I am sick, I must die.
   Lord, have mercy on us!

Beauty is but a flower
Which wrinkles will devour;
Brightness falls from the air;
Queens have died young and fair;
Dust hath closed Helens eye.
I am sick, I must die.
   Lord, have mercy on us!

Strength stoops unto the grave,
Worms feed on Hectors brave;
Swords may not fight with fate,
Earth still holds ope her gate.
Come, come! the bells do cry.
I am sick, I must die.
   Lord, have mercy on us.

Wit with his wantonness
Tasteth deaths bitterness;
Hells executioner
Hath no ears for to hear
What vain art can reply.
I am sick, I must die.
   Lord, have mercy on us.

Haste, therefore, each degree,
To welcome destiny;
Heaven is our heritage,
Earth but a players stage;
Mount we unto the sky.
I am sick, I must die.
   Lord, have mercy on us.",Love
